date;month;year;service;type_paiment;affluence;num_month
2/1/2022;Enero;2022;Ordinario;Boleto;44801;1
2/1/2022;Enero;2022;Ordinario;Prepago;1126;1
2/1/2022;Enero;2022;Ordinario;Gratuidad;7772;1
2/1/2022;Enero;2022;S/Metro;Boleto;23196;1
2/1/2022;Enero;2022;S/Metro;Prepago;823;1
2/1/2022;Enero;2022;S/Metro;Gratuidad;4019;1
3/1/2022;Enero;2022;Servicios Temporales;Boleto;0;1
3/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
3/1/2022;Enero;2022;Servicios Temporales;Gratuidad;0;1
3/1/2022;Enero;2022;Atenea;Boleto;15258;1
3/1/2022;Enero;2022;Atenea;Prepago;0;1
3/1/2022;Enero;2022;Atenea;Gratuidad;2638;1
3/1/2022;Enero;2022;Ecoatenea;Boleto;800;1
3/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
3/1/2022;Enero;2022;Ecoatenea;Gratuidad;138;1
3/1/2022;Enero;2022;Ecobús;Boleto;24898;1
3/1/2022;Enero;2022;Ecobús;Prepago;1833;1
3/1/2022;Enero;2022;Ecobús;Gratuidad;4327;1
3/1/2022;Enero;2022;Expdirecto;Boleto;1735;1
3/1/2022;Enero;2022;Expdirecto;Prepago;249;1
3/1/2022;Enero;2022;Expdirecto;Gratuidad;310;1
3/1/2022;Enero;2022;Expreso;Boleto;52483;1
3/1/2022;Enero;2022;Expreso;Prepago;5083;1
3/1/2022;Enero;2022;Expreso;Gratuidad;9126;1
3/1/2022;Enero;2022;Nochebús;Boleto;607;1
3/1/2022;Enero;2022;Nochebús;Prepago;25;1
3/1/2022;Enero;2022;Nochebús;Gratuidad;47;1
3/1/2022;Enero;2022;Ordinario;Boleto;92242;1
3/1/2022;Enero;2022;Ordinario;Prepago;2450;1
3/1/2022;Enero;2022;Ordinario;Gratuidad;15983;1
3/1/2022;Enero;2022;S/Metro;Boleto;44541;1
3/1/2022;Enero;2022;S/Metro;Prepago;1384;1
3/1/2022;Enero;2022;S/Metro;Gratuidad;7717;1
4/1/2022;Enero;2022;Servicios Temporales;Boleto;0;1
4/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
4/1/2022;Enero;2022;Servicios Temporales;Gratuidad;0;1
4/1/2022;Enero;2022;Atenea;Boleto;17538;1
4/1/2022;Enero;2022;Atenea;Prepago;0;1
4/1/2022;Enero;2022;Atenea;Gratuidad;3032;1
4/1/2022;Enero;2022;Ecoatenea;Boleto;2389;1
4/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
4/1/2022;Enero;2022;Ecoatenea;Gratuidad;413;1
4/1/2022;Enero;2022;Ecobús;Boleto;25194;1
4/1/2022;Enero;2022;Ecobús;Prepago;1948;1
4/1/2022;Enero;2022;Ecobús;Gratuidad;4395;1
4/1/2022;Enero;2022;Expdirecto;Boleto;1794;1
4/1/2022;Enero;2022;Expdirecto;Prepago;277;1
4/1/2022;Enero;2022;Expdirecto;Gratuidad;314;1
4/1/2022;Enero;2022;Expreso;Boleto;47758;1
4/1/2022;Enero;2022;Expreso;Prepago;5535;1
4/1/2022;Enero;2022;Expreso;Gratuidad;8309;1
4/1/2022;Enero;2022;Nochebús;Boleto;724;1
4/1/2022;Enero;2022;Nochebús;Prepago;35;1
4/1/2022;Enero;2022;Nochebús;Gratuidad;55;1
4/1/2022;Enero;2022;Ordinario;Boleto;98961;1
4/1/2022;Enero;2022;Ordinario;Prepago;3004;1
4/1/2022;Enero;2022;Ordinario;Gratuidad;17162;1
4/1/2022;Enero;2022;S/Metro;Boleto;46174;1
4/1/2022;Enero;2022;S/Metro;Prepago;1322;1
4/1/2022;Enero;2022;S/Metro;Gratuidad;8001;1
5/1/2022;Enero;2022;Servicios Temporales;Boleto;0;1
5/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
5/1/2022;Enero;2022;Servicios Temporales;Gratuidad;0;1
5/1/2022;Enero;2022;Atenea;Boleto;17494;1
5/1/2022;Enero;2022;Atenea;Prepago;0;1
5/1/2022;Enero;2022;Atenea;Gratuidad;3024;1
5/1/2022;Enero;2022;Ecoatenea;Boleto;1695;1
5/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
5/1/2022;Enero;2022;Ecoatenea;Gratuidad;293;1
5/1/2022;Enero;2022;Ecobús;Boleto;25214;1
5/1/2022;Enero;2022;Ecobús;Prepago;2036;1
5/1/2022;Enero;2022;Ecobús;Gratuidad;4394;1
5/1/2022;Enero;2022;Expdirecto;Boleto;1882;1
5/1/2022;Enero;2022;Expdirecto;Prepago;315;1
5/1/2022;Enero;2022;Expdirecto;Gratuidad;330;1
5/1/2022;Enero;2022;Expreso;Boleto;47776;1
5/1/2022;Enero;2022;Expreso;Prepago;4982;1
5/1/2022;Enero;2022;Expreso;Gratuidad;8305;1
5/1/2022;Enero;2022;Nochebús;Boleto;761;1
5/1/2022;Enero;2022;Nochebús;Prepago;29;1
5/1/2022;Enero;2022;Nochebús;Gratuidad;57;1
5/1/2022;Enero;2022;Ordinario;Boleto;102096;1
5/1/2022;Enero;2022;Ordinario;Prepago;2910;1
5/1/2022;Enero;2022;Ordinario;Gratuidad;17709;1
5/1/2022;Enero;2022;S/Metro;Boleto;42821;1
5/1/2022;Enero;2022;S/Metro;Prepago;1358;1
5/1/2022;Enero;2022;S/Metro;Gratuidad;7425;1
6/1/2022;Enero;2022;Servicios Temporales;Boleto;1798;1
6/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
6/1/2022;Enero;2022;Servicios Temporales;Gratuidad;311;1
6/1/2022;Enero;2022;Atenea;Boleto;16117;1
6/1/2022;Enero;2022;Atenea;Prepago;0;1
6/1/2022;Enero;2022;Atenea;Gratuidad;2786;1
6/1/2022;Enero;2022;Ecoatenea;Boleto;2033;1
6/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
6/1/2022;Enero;2022;Ecoatenea;Gratuidad;351;1
6/1/2022;Enero;2022;Ecobús;Boleto;24212;1
6/1/2022;Enero;2022;Ecobús;Prepago;1811;1
6/1/2022;Enero;2022;Ecobús;Gratuidad;4212;1
6/1/2022;Enero;2022;Expdirecto;Boleto;1549;1
6/1/2022;Enero;2022;Expdirecto;Prepago;264;1
6/1/2022;Enero;2022;Expdirecto;Gratuidad;271;1
6/1/2022;Enero;2022;Expreso;Boleto;45172;1
6/1/2022;Enero;2022;Expreso;Prepago;4534;1
6/1/2022;Enero;2022;Expreso;Gratuidad;7851;1
6/1/2022;Enero;2022;Nochebús;Boleto;924;1
6/1/2022;Enero;2022;Nochebús;Prepago;47;1
6/1/2022;Enero;2022;Nochebús;Gratuidad;71;1
6/1/2022;Enero;2022;Ordinario;Boleto;89072;1
6/1/2022;Enero;2022;Ordinario;Prepago;2727;1
6/1/2022;Enero;2022;Ordinario;Gratuidad;15437;1
6/1/2022;Enero;2022;S/Metro;Boleto;40998;1
6/1/2022;Enero;2022;S/Metro;Prepago;1302;1
6/1/2022;Enero;2022;S/Metro;Gratuidad;7110;1
7/1/2022;Enero;2022;Servicios Temporales;Boleto;2065;1
7/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
7/1/2022;Enero;2022;Servicios Temporales;Gratuidad;357;1
7/1/2022;Enero;2022;Atenea;Boleto;15874;1
7/1/2022;Enero;2022;Atenea;Prepago;0;1
7/1/2022;Enero;2022;Atenea;Gratuidad;2744;1
7/1/2022;Enero;2022;Ecoatenea;Boleto;1960;1
7/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
7/1/2022;Enero;2022;Ecoatenea;Gratuidad;339;1
7/1/2022;Enero;2022;Ecobús;Boleto;24393;1
7/1/2022;Enero;2022;Ecobús;Prepago;1947;1
7/1/2022;Enero;2022;Ecobús;Gratuidad;4244;1
7/1/2022;Enero;2022;Expdirecto;Boleto;1767;1
7/1/2022;Enero;2022;Expdirecto;Prepago;238;1
7/1/2022;Enero;2022;Expdirecto;Gratuidad;311;1
7/1/2022;Enero;2022;Expreso;Boleto;50164;1
7/1/2022;Enero;2022;Expreso;Prepago;4391;1
7/1/2022;Enero;2022;Expreso;Gratuidad;8722;1
7/1/2022;Enero;2022;Nochebús;Boleto;838;1
